Year,Player,Country,Matches,Innings,Not_out,50s,100s,0s,Highest_score,Runs,Strike_rate,Average,Catches,Stumping
1983,Yashpal Sharma,India,8,8,1,2,0,0,89,240,64.0,34.29,2,0
1983,"Hughes, K J",Australia,5,5,0,2,0,1,69,170,58.82,34.0,2,0
1983,"Madan Lal, S",India,8,6,3,0,0,0,27,102,64.97,34.0,1,0
1983,"Crowe, M D",New Zealand,6,6,0,1,0,1,97,202,63.92,33.67,1,0
1983,Shahid Mahboob,Pakistan,5,3,0,1,0,0,77,100,59.88,33.33,1,0
1983,Mohsin Khan,Pakistan,7,7,0,2,0,1,82,223,44.16,31.86,3,0
1983,Abdul Qadir,Pakistan,6,5,3,0,0,1,41,62,59.05,31.0,1,0
1983,"Patil, S M",India,8,8,1,2,0,1,51,216,90.0,30.86,2,0
1983,"Wessels, K C",South Africa,3,3,0,1,0,0,76,92,54.76,30.67,1,0
1983,"Snedden, M C",New Zealand,3,2,0,0,0,0,40,61,68.54,30.5,2,0
1983,"Kuruppu, D S B",Sri Lanka,6,6,0,2,0,0,72,182,51.12,30.33,1,0
1983,"Tavare, C J",England,7,7,0,1,0,0,58,212,49.07,30.29,2,0
1983,"Dias, R L",Sri Lanka,6,6,1,1,0,0,64,150,54.15,30.0,3,0
1983,"Amarnath, M",India,8,8,0,1,0,0,80,237,46.75,29.63,0,0
1983,"Houghton, D L",Zimbabwe,6,6,0,2,0,2,84,176,61.54,29.33,7,0
1983,"Lloyd, C H",West Indies,8,5,1,0,0,0,41,112,69.57,28.0,5,0
1983,"Mendis, L R D",Sri Lanka,6,6,0,1,0,1,56,158,65.83,26.33,1,0
1983,"Border, A R",Australia,6,6,0,0,0,0,43,150,75.76,25.0,3,0
1983,"Brown, R D",Zimbabwe,4,4,0,0,0,0,38,93,38.43,23.25,2,0
1983,"Hookes, D W",Australia,6,6,0,1,0,0,56,133,68.56,22.17,3,0
1983,"Gould, I J",England,7,4,1,0,0,0,35,66,64.71,22.0,11,1
1983,"Wettimuny, S",Sri Lanka,6,6,0,1,0,0,50,128,40.38,21.33,0,0
1983,"Madugalle, R S",Sri Lanka,5,5,0,1,0,1,60,104,62.28,20.8,3,0
1983,"Gatting, M W",England,7,5,1,0,0,0,43,83,62.41,20.75,2,0
1983,"Bracewell, J G",New Zealand,3,3,1,0,0,0,34,41,110.81,20.5,1,0
1983,"Butchart, I P",Zimbabwe,6,6,2,0,0,2,34,82,55.78,20.5,2,0
1983,"Crowe, J J",New Zealand,2,2,0,0,0,0,23,40,55.56,20.0,2,0
1983,"Lees, W K",New Zealand,4,4,1,0,0,0,26,60,70.59,20.0,4,0
1983,"Srikkanth, K",India,8,8,0,0,0,1,39,156,61.9,19.5,3,0
1983,"Roberts, A M E",West Indies,7,4,1,0,0,0,37,53,55.79,17.67,0,0
1983,Mudassar Nazar,Pakistan,6,6,0,0,0,1,36,106,36.05,17.67,2,0
1983,"John, V B",Sri Lanka,5,5,3,0,0,1,15,35,59.32,17.5,0,0
1983,"Turner, G M",New Zealand,6,6,0,1,0,0,50,103,66.03,17.17,0,0
1983,"Wright, J G",New Zealand,5,5,0,0,0,1,45,83,56.46,16.6,1,0
1983,"Paterson, G A",Zimbabwe,6,6,0,0,0,0,27,99,42.31,16.5,0,0
1983,"Peckover, G E",Zimbabwe,3,3,1,0,0,0,16,33,61.11,16.5,0,0
1983,"Edgar, B A",New Zealand,5,5,0,0,0,0,44,81,37.16,16.2,4,0
1983,"De Silva, D S",Sri Lanka,6,6,0,0,0,0,35,94,59.87,15.67,2,0
1983,Ijaz Faqih,Pakistan,6,5,1,0,0,1,42,61,54.46,15.25,1,0
1983,"Hadlee, R J",New Zealand,6,5,0,0,0,0,31,71,57.26,14.2,2,0
1983,"Sandhu, B S",India,8,4,2,0,0,1,11,28,45.16,14.0,2,0
1983,"Ratnayake, R J",Sri Lanka,6,5,1,0,0,0,20,54,69.23,13.5,0,0
1983,"Ranatunga, A",Sri Lanka,6,6,0,0,0,3,34,80,67.23,13.33,3,0
1983,"Dujon, P J L",West Indies,8,4,0,0,0,0,25,53,40.15,13.25,15,1
1983,"De Mel, A L F",Sri Lanka,6,5,0,0,0,0,27,66,68.75,13.2,0,0
